N55528	lifestyle	lifestyleroyals	The Brands Queen Elizabeth, Prince Charles, and Prince Philip Swear By	Shop the notebooks, jackets, and more that the royals can't live without.	https://assets.msn.com/labs/mind/AAGH0ET.html	"[{""Label"": ""Prince Philip, Duke of Edinburgh"", ""Type"": ""P"", ""WikidataId"": ""Q80976"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [48], ""SurfaceForms"": [""Prince Philip""]}, {""Label"": ""Charles, Prince of Wales"", ""Type"": ""P"", ""WikidataId"": ""Q43274"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [28], ""SurfaceForms"": [""Prince Charles""]}, {""Label"": ""Elizabeth II"", ""Type"": ""P"", ""WikidataId"": ""Q9682"", ""Confidence"": 0.97, ""OccurrenceOffsets"": [11], ""SurfaceForms"": [""Queen Elizabeth""]}]"	[]
N19163	autos	autosenthusiasts	Veneno Roadster, One:1, One-77, LaFerrari, P1, Veyron headline 25-car Bonham's auction	Stunning collection was seized by European authorities.	https://assets.msn.com/labs/mind/AADmhGM.html	"[{""Label"": ""Aston Martin One-77"", ""Type"": ""V"", ""WikidataId"": ""Q750015"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [24], ""SurfaceForms"": [""One-77""]}, {""Label"": ""Bonhams"", ""Type"": ""O"", ""WikidataId"": ""Q892447"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [70], ""SurfaceForms"": [""Bonham""]}, {""Label"": ""LaFerrari"", ""Type"": ""V"", ""WikidataId"": ""Q3069684"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [32], ""SurfaceForms"": [""LaFerrari""]}, {""Label"": ""Bugatti Veyron"", ""Type"": ""V"", ""WikidataId"": ""Q172610"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [47], ""SurfaceForms"": [""Veyron""]}, {""Label"": ""Lamborghini Aventador"", ""Type"": ""V"", ""WikidataId"": ""Q318094"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Veneno Roadster""]}, {""Label"": ""McLaren P1"", ""Type"": ""V"", ""WikidataId"": ""Q6407533"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [43], ""SurfaceForms"": [""P1""]}]"	[]
N13343	lifestyle	lifestylebeauty	46 Mismatched Nail Ideas You'll Want to Copy Immediately	Why wear one shade when you can wear them all?	https://assets.msn.com/labs/mind/AACJcix.html	[]	[]
N60852	weather	weathertopstories	In Photos: Flooding across the globe	Millions of people have been displaced from their homes after torrential rains triggered floods and landslides across the globe.	https://assets.msn.com/labs/mind/AAEmMJu.html	[]	[]
N61864	news	newsopinion	The News In Cartoons	News as seen through the eyes of the nation's editorial cartoonists.	https://assets.msn.com/labs/mind/AABGTFJ.html	[]	[]
N36064	finance	finance-companies	More store closings coming: The list of retailers closing locations in 2019	More than 10 months into 2019, more than 8,600 stores are slated to close and more closings are expected. Is your favorite store closing?	https://assets.msn.com/labs/mind/AADN84N.html	[]	[]
N35788	autos	autosnews	Extreme Jeep Wrangler Prototype Caught Testing in Michigan	Could this be a peek at a future Wrangler variant with even more off-road capability?	https://assets.msn.com/labs/mind/AAEwmWX.html	"[{""Label"": ""Jeep Wrangler"", ""Type"": ""V"", ""WikidataId"": ""Q1353305"", ""Confidence"": 0.993, ""OccurrenceOffsets"": [8], ""SurfaceForms"": [""Jeep Wrangler""]}]"	"[{""Label"": ""Jeep Wrangler"", ""Type"": ""V"", ""WikidataId"": ""Q1353305"", ""Confidence"": 0.993, ""OccurrenceOffsets"": [33], ""SurfaceForms"": [""Wrangler""]}]"
N61167	movies	movies-gallery	Must-see biopics	Take a look at the greatest true-life biographical stories on the big screen.	https://assets.msn.com/labs/mind/AABsqwH.html	[]	[]
N27190	sports	football_nfl	Redskins place TE Jordan Reed on injured reserve, ending his season	The Redskins are calling it quits on the season for Jordan Reed, placing him on the IR as he continues to battle back from a concussion.	https://assets.msn.com/labs/mind/AAIGvDn.html	"[{""Label"": ""Jordan Reed"", ""Type"": ""P"", ""WikidataId"": ""Q6276908"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [18], ""SurfaceForms"": [""Jordan Reed""]}, {""Label"": ""Washington Redskins"", ""Type"": ""O"", ""WikidataId"": ""Q212654"", ""Confidence"": 0.98, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Redskins""]}, {""Label"": ""Tight end"", ""Type"": ""C"", ""WikidataId"": ""Q1153176"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [15], ""SurfaceForms"": [""TE""]}]"	"[{""Label"": ""Jordan Reed"", ""Type"": ""P"", ""WikidataId"": ""Q6276908"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [52], ""SurfaceForms"": [""Jordan Reed""]}, {""Label"": ""Washington Redskins"", ""Type"": ""O"", ""WikidataId"": ""Q212654"", ""Confidence"": 0.98, ""OccurrenceOffsets"": [4], ""SurfaceForms"": [""Redskins""]}]"
N9035	sports	football_nfl	NFL Week 9 Odds: Point Spreads, Betting Lines For All 14 Football Games	Another week has passed and still the New England Patriots and San Francisco ers remain undefeated. That very well could change in Week though particularly for the Patriots who have	https://assets.msn.com/labs/mind/AAJwfdx.html	[]	"[{""Label"": ""New England Patriots"", ""Type"": ""O"", ""WikidataId"": ""Q193390"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [38, 164], ""SurfaceForms"": [""New England Patriots"", ""Patriots""]}]"
N19651	lifestyle	lifestyleshopping	27 products you only need to buy once in your life	Here are all of the brands with true lifetime warranties that will replace, repair, or refund you for your purchase, at any time.	https://assets.msn.com/labs/mind/AABw7ES.html	[]	[]
N22957	foodanddrink	restaurantsandnews	Ranking 26 fast-food fried-chicken sandwiches (including Popeyes)	The world has been abuzz this week with talk of Popeyes fried chicken sandwich. But how does it stack up in a packed field of competitors? Nick Kindelsperger of the Chicago Tribune offers up his view.	https://assets.msn.com/labs/mind/AAGaV0d.html	"[{""Label"": ""Popeyes"", ""Type"": ""O"", ""WikidataId"": ""Q1330910"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [57], ""SurfaceForms"": [""Popeyes""]}]"	"[{""Label"": ""Popeyes"", ""Type"": ""O"", ""WikidataId"": ""Q1330910"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [48], ""SurfaceForms"": [""Popeyes""]}, {""Label"": ""Chicago Tribune"", ""Type"": ""M"", ""WikidataId"": ""Q47596"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [165], ""SurfaceForms"": [""Chicago Tribune""]}]"
N63006	finance	finance-savemoney	17 Surprising Ways Penny-Pinching Costs You More	Frugal living could end up costing you in the long run.	https://assets.msn.com/labs/mind/AAB4M2y.html	[]	[]
N5159	travel	traveltripideas	The Fascinating Story Behind Where 'Hocus Pocus' Was Filmed	You can visit Max and Dani's home ... if you dare.	https://assets.msn.com/labs/mind/AADmhmO.html	"[{""Label"": ""Hocus Pocus (1993 film)"", ""Type"": ""W"", ""WikidataId"": ""Q431140"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [36], ""SurfaceForms"": [""Hocus Pocus""]}]"	[]
N47685	health	mentalhealth	Early symptoms of dementia: Be aware of subtle signs	Would you be able to recognize the symptoms of this creeping affliction?	https://assets.msn.com/labs/mind/AAI3Gx9.html	[]	[]
N44720	news	newsus	Man killed in officer-involved shooting in St. Louis	A man was killed in an officer-involved shooting Sunday morning, according to the St. Louis Metropolitan Police Department. It happened near 13th and Clinton. Police said they tried to pull over the man for a traffic violation, which led to a short chase. Eventually the car ran over an obstruction, causing a crash. St. Louis police said the man ran off and officers used a taser to try to stop him, but they said he pulled out a weapon and pointed...	https://assets.msn.com/labs/mind/AAJ44DD.html	[]	"[{""Label"": ""Metropolitan Police Department, City of St. Louis"", ""Type"": ""O"", ""WikidataId"": ""Q19876954"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [82, 317], ""SurfaceForms"": [""St. Louis Metropolitan Police Department"", ""St. Louis police""]}]"
N55024	lifestyle	lifestylesmartliving	40 Etiquette Mistakes You Need to Stop Making by Age 40	From errors you make on the phone to rude things you do with your significant other, clean up your act by ditching these etiquette mistake in your 40s.	https://assets.msn.com/labs/mind/AACJkDv.html	[]	"[{""Label"": ""Eukaryotic small ribosomal subunit (40S)"", ""Type"": ""U"", ""WikidataId"": ""Q4637383"", ""Confidence"": 0.921, ""OccurrenceOffsets"": [147], ""SurfaceForms"": [""40s""]}]"
N44162	sports	football_nfl	Patriots vs. Ravens: 3 keys to the game, fun facts, prediction	Finally, the Patriots will play a real game against a legitimate opponent. For the first time since Week 4, the Patriots should play in a compelling game, as they will take on the Ravens on the road Sunday night. While the Patriots are 8-0 on the year, the Ravens are 5-2 and coming off their bye. In their last game, they had one of the better wins of the season by going into Seattle and coming away with a 30-16 win. Lamar Jackson is also one of...	https://assets.msn.com/labs/mind/AAJJZwW.html	"[{""Label"": ""Baltimore Ravens"", ""Type"": ""O"", ""WikidataId"": ""Q276539"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [13], ""SurfaceForms"": [""Ravens""]}]"	"[{""Label"": ""Baltimore Ravens"", ""Type"": ""O"", ""WikidataId"": ""Q276539"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [180, 257], ""SurfaceForms"": [""Ravens"", ""Ravens""]}, {""Label"": ""Lamar Jackson"", ""Type"": ""P"", ""WikidataId"": ""Q24809702"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [420], ""SurfaceForms"": [""Lamar Jackson""]}, {""Label"": ""Seattle"", ""Type"": ""G"", ""WikidataId"": ""Q5083"", ""Confidence"": 0.994, ""OccurrenceOffsets"": [378], ""SurfaceForms"": [""Seattle""]}]"
N52683	health	fitness	14 Celebs Over 50 Who Are In The Best Shape Of Their Lives	A list of celebs over 50 who take health and fitness very seriously   and it shows!	https://assets.msn.com/labs/mind/AABHaIE.html	"[{""Label"": ""Shape (magazine)"", ""Type"": ""M"", ""WikidataId"": ""Q327416"", ""Confidence"": 0.984, ""OccurrenceOffsets"": [38], ""SurfaceForms"": [""Shape""]}]"	[]
